bodyId,bx,by,bz,count
10005,43,30,26,29
10005,40,23,17,3
10005,43,11,15,16
10005,39,27,29,20
10005,43,29,24,4
10005,57,26,25,46
10005,42,15,22,9
10005,55,32,33,67
10005,39,15,22,2
10005,54,27,22,112
10005,44,22,20,3
10005,39,21,18,18
10005,40,22,21,14
10005,41,27,30,11
10005,41,27,28,46
10005,41,26,24,23
10005,39,22,17,1
10005,40,21,21,5
10005,42,21,20,3
10005,43,19,15,1
10005,41,21,21,6
10005,42,12,16,35
10005,41,13,13,43
10005,41,26,23,40
10005,42,28,24,16
10005,45,19,15,1
10005,45,19,14,2
10005,39,23,18,6
10005,40,15,14,2
10005,31,16,17,90
10005,32,14,16,5
10005,29,15,21,126
10005,40,24,24,4
10005,33,14,16,20
10005,43,24,23,3
10005,32,13,20,52
10005,35,12,18,9
10005,32,13,18,190
10005,29,15,18,21
10005,30,15,17,13
10005,55,26,23,329
10005,40,17,20,2
10005,52,34,33,21
10005,29,14,21,5
10005,31,14,21,9
10005,30,13,19,16
10005,42,19,14,3
10005,55,23,21,190
10005,43,21,17,3
10005,30,16,17,22
10005,35,12,20,1
10005,29,14,19,48
10005,56,25,25,1
10005,56,23,21,273
10005,40,29,29,10
10005,35,15,17,52
10005,30,18,19,21
10005,33,17,17,21
10005,32,17,17,21
10005,31,17,17,32
10005,31,14,17,23
10005,28,15,21,15
10005,55,30,29,63
10005,54,26,24,89
10005,32,14,21,11
10005,34,17,20,22
10005,57,27,30,18
10005,54,26,21,143
10005,39,24,21,5
10005,33,15,20,36
10005,30,18,18,13
10005,40,27,32,5
10005,29,18,18,2
10005,43,21,18,1
10005,39,27,32,27
10005,36,11,19,2
10005,32,16,21,2
10005,28,16,20,4
10005,36,12,19,2
10005,31,18,18,1
10005,57,25,23,114
10005,53,25,21,1
10005,33,13,17,6
10005,40,27,28,14
10005,41,12,16,15
10005,40,27,24,37
10005,43,23,18,25
10005,35,13,20,10
10005,41,17,21,10
10005,30,13,18,2
10005,40,17,22,2
10005,41,17,22,1
10005,55,29,29,101
10005,39,22,19,3
10005,39,12,16,20
10005,43,24,22,3
10005,38,27,28,6
10005,39,27,28,4
10005,44,25,24,34
10005,38,13,17,16
10005,56,22,21,8
10005,42,25,26,16
10005,39,24,23,21
10005,38,27,33,2
10005,43,27,27,7
10005,39,22,21,1
10005,56,23,23,101
10005,39,24,24,4
10005,38,13,16,15
10005,41,30,30,11
10005,54,25,19,40
10005,55,32,31,87
10005,29,17,18,1
10005,41,29,28,21
10005,54,27,24,63
10005,39,14,17,1
10005,38,23,19,2
10005,53,34,33,36
10005,40,25,25,7
10005,43,21,20,1
10005,37,16,19,2
10005,41,29,23,12
10005,34,18,20,3
10005,36,17,18,4
10005,42,27,28,3
10005,42,12,14,4
10005,42,26,23,1
10005,39,21,22,5
10005,37,16,20,1
10005,53,25,26,148
10005,54,24,22,2
10005,53,33,32,1
10005,44,25,25,1
10005,40,22,22,10
10005,36,15,18,2
10005,57,26,24,45
10005,55,23,23,91
10005,40,25,26,1
10005,38,19,21,2
10005,36,18,20,1
10005,53,27,26,37
10005,58,28,20,40
10005,40,26,29,5
10005,38,27,32,4
10005,53,27,21,1
10005,40,22,16,9
10005,54,23,18,10
10005,39,28,28,2
10005,54,28,26,1
10005,43,28,27,3
10005,42,23,17,7
10005,41,28,26,1
10005,43,14,24,1
10005,38,24,23,2
10005,34,14,20,2
10005,53,26,23,50
10005,52,33,33,86
10005,52,26,26,103
10005,39,14,20,1
10005,52,33,34,30
10005,53,27,22,102
